timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T19:25:07+03:00,77.9,performance,manual,85.9,72.0,174.1,,,84.0,70.9,,85.9,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:08+03:00,79.0,performance,manual,85.9,72.0,174.0,,,84.2,71.0,,85.9,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:10+03:00,80.1,performance,manual,85.5,72.0,174.0,,,84.3,71.1,,85.5,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:11+03:00,81.1,performance,manual,85.2,72.0,174.1,,,84.4,71.2,,85.2,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:12+03:00,82.2,performance,manual,84.8,72.0,174.1,,,84.4,71.3,,84.8,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:13+03:00,83.2,performance,manual,84.2,72.0,174.0,,,84.4,71.4,,84.4,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:14+03:00,84.3,performance,manual,84.1,72.0,174.0,,,84.4,71.4,,84.4,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:15+03:00,85.4,performance,manual,84.4,72.0,174.0,,,84.4,71.5,,84.4,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:16+03:00,86.4,performance,manual,84.5,72.0,174.0,,,84.4,71.5,,84.5,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:17+03:00,87.5,performance,manual,84.4,72.0,174.0,,,84.4,71.6,,84.4,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:18+03:00,88.5,performance,manual,84.4,72.0,174.0,,,84.4,71.6,,84.4,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:19+03:00,89.6,performance,manual,85.0,72.0,174.0,,,84.5,71.7,,85.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:20+03:00,90.7,performance,manual,84.8,72.0,174.0,,,84.5,71.7,,84.8,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:21+03:00,91.7,performance,manual,84.6,72.0,174.0,,,84.5,71.7,,84.6,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
